Дата	ID клиента	Сумма
03.01.2007	3649	70940,14
04.01.2007	3649	84041,61
05.01.2007	3649	26595,32
05.01.2007	3650	46539,82
06.01.2007	3650	69856,45
07.01.2007	3650	33011,72
08.01.2007	3650	19258,75
08.01.2007	3651	53625,79
09.01.2007	3651	93874,27
10.01.2007	3651	46283,52
11.01.2007	3651	52833,68
12.01.2007	3651	47625,4
13.01.2007	3651	73828,25
14.01.2007	3651	34481,31
15.01.2007	3651	34014,65
16.01.2007	3651	93615,1
17.01.2007	3651	111314,34
18.01.2007	3651	59608,21
19.01.2007	3651	30750,98
19.01.2007	3652	4553,17
20.01.2007	3652	158659,73
21.01.2007	3652	108669,93
21.01.2007	3653	1480,05
22.01.2007	3653	107485,2
23.01.2007	3653	5813,43
23.01.2007	3654	33529,05
24.01.2007	3654	94991,98
25.01.2007	3654	84852,1
26.01.2007	3654	47882,91
27.01.2007	3654	161290,82
28.01.2007	3654	100799,36
29.01.2007	3654	56375,76
30.01.2007	3654	46186,3
31.01.2007	3654	55556,52
01.02.2007	3654	53076,83
02.02.2007	3654	46879,45
03.02.2007	3654	153309,02
04.02.2007	3654	40866,72
05.02.2007	3654	41923,72
06.02.2007	3654	91528,77
07.02.2007	3654	56920,67
08.02.2007	3654	131471,88
09.02.2007	3654	129450,25
10.02.2007	3654	24463,84
10.02.2007	3655	49881,13
11.02.2007	3658	20193,71
11.02.2007	3659	30203,05
11.02.2007	6365	3493,82
12.02.2007	6368	45147,2
13.02.2007	6368	64331,94
13.02.2007	6369	15808,23
14.02.2007	11166	28068,14
14.02.2007	6369	2382,6
15.02.2007	11166	38546,56
16.02.2007	11166	59316,57
17.02.2007	11166	189334,29
18.02.2007	11166	42850,81
19.02.2007	11166	40962,42
20.02.2007	11166	11184,25
21.02.2007	11166	106214,97
22.02.2007	11166	179885,45
23.02.2007	11166	46736,62
24.02.2007	11166	102468,46
25.02.2007	11166	110100,85
26.02.2007	11166	136454,65
27.02.2007	11166	43589,83
28.02.2007	11166	115420,74
01.03.2007	11166	2963,96
01.03.2007	11177	60697,19
02.03.2007	11177	38898,66
03.03.2007	11177	97100,94
04.03.2007	11177	65344,27
05.03.2007	11177	80918,94
06.03.2007	11177	57387
07.03.2007	11177	24763,12
08.03.2007	11177	30006,26
09.03.2007	11177	53103,8
10.03.2007	11177	54389,97
11.03.2007	11177	39668
12.03.2007	11177	87097,53
13.03.2007	11177	56690,19
14.03.2007	11181	61376,38
15.03.2007	11181	75035,79
16.03.2007	11181	94961,8
17.03.2007	11181	73076,07
18.03.2007	11181	96933,53
19.03.2007	11181	81730,15
20.03.2007	11181	90169,88
21.03.2007	11181	625,76
21.03.2007	12311	70761,55
22.03.2007	12311	95761,21
23.03.2007	12311	60414,1
24.03.2007	12311	130875,29
25.03.2007	12311	79387,33
26.03.2007	12311	27298,62
27.03.2007	12311	82537,42
28.03.2007	12311	171040,8
29.03.2007	12311	71099,72
30.03.2007	12311	67036,78
31.03.2007	12311	145286,69
01.04.2007	12311	92318,08
02.04.2007	12311	70019,51
03.04.2007	12311	86722,37
04.04.2007	12311	34081,45
04.04.2007	12313	64029,42
05.04.2007	12313	106157,91
06.04.2007	12313	49415,45
07.04.2007	12313	63832,63
08.04.2007	12313	8977,69
09.04.2007	12313	78588
10.04.2007	12313	83481,45
11.04.2007	12313	33765,13
12.04.2007	12313	54913,51
13.04.2007	12313	62550,29
14.04.2007	12313	196373,68
15.04.2007	12313	90236,48
16.04.2007	12313	25829,87
17.04.2007	12313	26584,57
17.04.2007	12334	4881,18
18.04.2007	12334	54996,95
19.04.2007	12334	50833,59
20.04.2007	12334	94005,56
21.04.2007	12334	246015,29
22.04.2007	12334	101622,46
23.04.2007	12334	73996,23
24.04.2007	12334	174694,44
25.04.2007	12334	86015,34
26.04.2007	12334	71755,11
27.04.2007	12334	80933,14
28.04.2007	12334	88249,38
29.04.2007	12334	58501,87
30.04.2007	12334	68779,61
30.04.2007	12775	4866,75
01.05.2007	12334	53944,86
02.05.2007	12334	19250,64
02.05.2007	12775	2677,55
03.05.2007	12334	5427,25
03.05.2007	12765	21385
04.05.2007	12765	94109,5
05.05.2007	12765	92345,31
06.05.2007	12765	38327,1
06.05.2007	12775	940
07.05.2007	12765	38227,18
08.05.2007	12765	150533,61
09.05.2007	12765	56778,61
10.05.2007	12765	86891,33
11.05.2007	12765	36965,36
12.05.2007	12765	61507,52
12.05.2007	12775	23836,7
13.05.2007	12765	57257,27
14.05.2007	12765	67256,47
15.05.2007	12765	29619,34
16.05.2007	12765	90539,65
16.05.2007	12775	2023,73
17.05.2007	12765	64310,29
18.05.2007	12765	29389
18.05.2007	12775	5265,36
19.05.2007	12765	64223,97
20.05.2007	12765	49256,51
20.05.2007	12775	7362,58
21.05.2007	12765	77849,4
22.05.2007	12765	81905,49
23.05.2007	12765	58242,07
23.05.2007	12775	2145,62
24.05.2007	12765	68414,22
25.05.2007	12765	4946,51
25.05.2007	12767	77101,95
26.05.2007	12767	75873,23
27.05.2007	12767	72999,04
28.05.2007	12767	102034,48
29.05.2007	12767	103663,33
30.05.2007	12767	92321,73
31.05.2007	12767	52301,27
31.05.2007	12769	74252,16
01.06.2007	12769	86085,9
02.06.2007	12769	116635,41
03.06.2007	12769	57914,13
03.06.2007	12771	43397,1
04.06.2007	12771	94655,72
05.06.2007	12771	45393,46
06.06.2007	12771	94093,96
07.06.2007	12771	79262,51
08.06.2007	12771	130028,28
09.06.2007	12771	48653,22
09.06.2007	12773	729,6
09.06.2007	12775	26223,51
10.06.2007	12775	99434,28
11.06.2007	12775	45364,87
12.06.2007	12775	79924,96
13.06.2007	12775	2549,29
13.06.2007	12777	52108,77
14.06.2007	12777	126616,15
15.06.2007	12777	118842,44
16.06.2007	12777	130071,8
17.06.2007	12777	77865,34
18.06.2007	12777	104179,27
19.06.2007	12777	90093,36
20.06.2007	12777	60882,68
21.06.2007	12777	132613,91
22.06.2007	12777	198128,46
23.06.2007	12777	127018,66
24.06.2007	12777	69284,69
25.06.2007	12777	93463,42
26.06.2007	12777	116890,33
26.06.2007	51348	7678,32
27.06.2007	51348	133473,74
28.06.2007	51348	20168,96
28.06.2007	51443	64313,19
29.06.2007	51443	153964,24
30.06.2007	51443	99618,19
01.07.2007	51443	78353,55
02.07.2007	51443	85811
03.07.2007	51443	69608,96
04.07.2007	51443	102120,98
05.07.2007	51443	109496,05
06.07.2007	51443	77323,08
07.07.2007	51443	196654
08.07.2007	51443	39182,86
09.07.2007	51443	105326,43
10.07.2007	51443	106695,57
11.07.2007	51443	150697,27
12.07.2007	51443	12501,72
12.07.2007	51451	132868,39
13.07.2007	51451	66240,99
14.07.2007	51451	113252,3
15.07.2007	51451	100030
16.07.2007	51451	114566,87
17.07.2007	51451	193738,51
18.07.2007	51451	94543,5
19.07.2007	51451	168693,27
20.07.2007	51451	156131,63
21.07.2007	51451	84947,79
22.07.2007	51451	5966,57
22.07.2007	51529	80057,73
23.07.2007	51529	93641,26
24.07.2007	51529	100049,83
25.07.2007	51529	62919,38
26.07.2007	51529	121174
27.07.2007	51529	169153,91
28.07.2007	51529	56210,27
29.07.2007	51529	83547,8
30.07.2007	51529	141230,05
31.07.2007	51529	123342,81
01.08.2007	51529	133158,92
02.08.2007	51529	88130,83
03.08.2007	51529	63781,84
04.08.2007	51529	12299,81
04.08.2007	51653	153856,94
05.08.2007	51653	49827,66
06.08.2007	51653	159070,24
07.08.2007	51653	86511,48
08.08.2007	51653	220110,3
09.08.2007	51653	110216,3
10.08.2007	51653	139455,43
11.08.2007	51653	75693,51
12.08.2007	51653	25320,1
13.08.2007	51653	94162,1
14.08.2007	51653	184594,79
15.08.2007	51653	83614,52
16.08.2007	51653	13474,98
16.08.2007	51898	275836,54
17.08.2007	51898	125965,1
18.08.2007	51898	215655,81
19.08.2007	51898	60322,61
20.08.2007	51898	41847,5
21.08.2007	51898	192461,01
22.08.2007	51898	43185,92
23.08.2007	51898	189284,79
24.08.2007	51898	87289,08
25.08.2007	51898	109123,78
26.08.2007	51967	22630,95
26.08.2007	51973	51980,53
27.08.2007	51973	87502,72
28.08.2007	51973	145214,51
29.08.2007	51973	95007,71
30.08.2007	51973	77371,9
31.08.2007	51973	166960,82
01.09.2007	51973	87169,3
02.09.2007	52015	59579,09
03.09.2007	52015	82644,93
04.09.2007	52015	31747,98
05.09.2007	52015	50704,05
06.09.2007	52015	158148,65
07.09.2007	52015	68491,01
08.09.2007	52015	195941,22
09.09.2007	52015	30081,08
09.09.2007	52095	67889,65
10.09.2007	52095	78792,16
11.09.2007	52095	93835,09
12.09.2007	52095	62155,06
13.09.2007	52095	122045,82
14.09.2007	52095	42924,14
15.09.2007	52095	91182,75
16.09.2007	52095	173648,83
17.09.2007	52095	83995,63
18.09.2007	52095	108016,96
19.09.2007	52095	100222,87
20.09.2007	52095	169870,34
21.09.2007	52095	46380,97
22.09.2007	52095	138785,45
23.09.2007	52095	72053,43
24.09.2007	52095	46094,91
25.09.2007	52095	100296,56
26.09.2007	52095	24136,77
27.09.2007	52095	111211,82
28.09.2007	52095	149354,91
29.09.2007	52095	61966,64
29.09.2007	52112	47404,12
29.09.2007	52142	10095,8
30.09.2007	52142	38218,05
01.10.2007	52142	75292,62
